codigo_suministro,operacion_apertura,Horas Inter,ENS $,Mes
318740401,105580175,"0,76","834,09",4
330780301,106460582,"24,77","831,79",4
326886301,106145076,"24,05","813,66",4
365923601,106112079,"3,78","774,23",4
330983202,106831008,"17,44","763,65",4
337131701,106383117,"13,00","761,51",4
337262302,105378695,"5,17","751,54",4
337221601,106265194,"0,26","749,93",4
357994301,105832326,"33,91","747,25",4
309819801,104751130,"10,98","739,29",4
312656001,105577240,"8,52","719,10",4
351773601,106814848,"5,91","717,95",4
352976601,104794489,"14,34","708,30",4
358645801,106141150,"25,37","708,22",4
350193602,105553548,"0,08","700,25",4
322577501,105745083,"19,33","693,24",4
321459101,105059292,"5,48","690,16",4
355798801,105279666,"26,28","688,62",4
308725401,105462690,"12,96","682,96",4
362230101,106368265,"14,62","678,92",4
361190301,105232778,"8,31","666,76",4
367250801,106845849,"11,85","659,11",4
326981201,104982839,"9,93","657,66",4
361577301,105223847,"28,58","654,37",4
322063301,106389530,"12,11","652,30",4
354405603,105571548,"15,71","630,91",4
322686001,106668122,"17,20","629,63",4
361090202,105078625,"11,77","629,63",4
310832602,106255983,"10,69","629,58",4
323621901,105593044,"6,48","628,73",4
360456801,106325690,"22,05","626,61",4
327822601,105328676,"13,10","622,18",4
350984801,106249079,"15,11","615,95",4
365372001,106511863,"0,73","613,86",4
319392201,106423265,"12,95","612,48",4
329524001,105928685,"24,56","612,37",4
360096701,105136867,"2,36","602,25",4
350538903,106422983,"3,74","598,97",4
318765001,106756634,"10,14","593,75",4
355056301,104826519,"6,78","587,28",4
361045901,106071746,"0,24","586,93",4
303603502,106838720,"16,05","582,78",4
330100606,105992811,"13,16","574,78",4
366780501,106841846,"9,81","574,44",4
308992305,105725019,"3,82","573,73",4
304243101,105757940,"3,08","571,72",4
312496701,105877544,"2,43","568,94",4
324161103,104766739,"0,24","566,03",4
337294202,105780624,"2,23","560,55",4
323337801,104801689,"10,12","557,42",4
319353601,105882825,"23,35","556,33",4
366995201,106595523,"4,92","556,01",4
365645701,104748994,"19,71","553,49",4
362592801,106043160,"19,75","551,65",4
361453701,106770426,"3,41","540,34",4
367402901,104983102,"19,48","526,74",4
317523603,106192308,"3,15","520,18",4
365570801,105769122,"7,70","520,13",4
365678901,105039771,"10,22","512,63",4
317523603,106383567,"3,06","505,32",4
327945402,106206048,"18,40","500,85",4
